parts and infs	6169886	ὄντα	εἰμί	pharr17	-sppa	335
parts and infs	6169890	δοκεῖν	δοκέω	pharr23	--pna	335
parts and infs	6169893	εἶναι	εἰμί	pharr17	--pna	335
parts and infs	6169929	προσθεῖναι	προστίθημι	to add	--ana	335
parts and infs	6169938	λέγοντες	λέγω	to pick; to say	-pppa	335
parts and infs	6169940	εἶναι	εἰμί	pharr17	--pna	335
parts and infs	6169945	ποιεῖν	ποιέω	pharr23	--pna	335
parts and infs	6169956	λέγειν	λέγω	to pick; to say	--pna	335
parts and infs	6169965	ὄντα	εἰμί	pharr17	-sppa	335
parts and infs	6169967	ποιεῖν	ποιέω	pharr23	--pna	335
parts and infs	6169973	ὄντα	εἰμί	pharr17	-sppa	335
parts and infs	6169974	βλάπτειν	βλάπτω	to disable	--pna	335
parts and infs	6169987	λέγεσθαι	λέγω	to pick; to say	--pne	335
parts and infs	6169998	βλάπτειν	βλάπτω	to disable	--pna	335
parts and infs	6170016	βλάπτειν	βλάπτω	to disable	--pna	335
parts and infs	6170018	βλαπτόμενοι	βλάπτω	to disable	-pppe	335
parts and infs	6170050	βλαπτόμενοι	βλάπτω	to disable	-pppe	335
parts and infs	6170077	βλαπτομένους	βλάπτω	to disable	-pppe	335
parts and infs	6170083	γίγνεσθαι	γίγνομαι	pharr26	--pne	335
parts and infs	6170102	βλαπτομένους	βλάπτω	to disable	-pppe	335
parts and infs	6170112	γίγνεσθαι	γίγνομαι	pharr26	--pne	335
parts and infs	6170124	ποιεῖν	ποιέω	pharr23	--pna	335
parts and infs	6170162	ψύχειν	ψύχω	to breathe	--pna	335
parts and infs	6170171	ὑγραίνειν	ὑγραίνω	to wet	--pna	335
parts and infs	6170183	βλάπτειν	βλάπτω	to disable	--pna	335
parts and infs	6170203	βλάπτειν	βλάπτω	to disable	--pna	335
parts and infs	6170226	λέγειν	λέγω	to pick; to say	--pna	335
parts and infs	6170236	ὀφειλόμενα	ὀφείλω	to owe	-pppe	335
parts and infs	6170238	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	335
parts and infs	6170242	εἶναι	εἰμί	pharr17	--pna	335
parts and infs	6170253	ὀφείλεσθαι	ὀφείλω	to owe	--pne	335
parts and infs	6170269	εἰπών	λέγω	to pick; to say	-sapa	335
