aor iia	9001499	ἔλαβε	λαμβάνω	pharr21	3saia	1.5.15
aor iia	9001652	εἶπεν	λέγω	to pick; to say	3saia	1.6.2
aor iia	9001801	ἐκέλευσεν	κελεύω	pharr13	3saia	1.6.4
aor iia	9001818	ἐποίησαν	ποιέω	pharr23	3paia	1.6.4
aor iia	9001829	παρεκάλεσε	παρακαλέω	to call to	3saia	1.6.5
aor iia	9001847	ἐξῆλθεν	ἐξέρχομαι	to go out	3saia	1.6.5
aor iia	9001849	ἀπήγγειλε	ἀπαγγέλλω	to bring tidings	3saia	1.6.5
aor iia	9001872	παρεκάλεσα	παρακαλέω	to call to	1saia	1.6.6
aor iia	9001906	ἔδωκεν	δίδωμι	to give	3saia	1.6.6
aor iia	9001924	ἐπολέμησεν	πολεμέω	pharr23	3saia	1.6.6
aor iia	9001936	ἐποίησα	ποιέω	pharr23	1saia	1.6.6
aor iia	9001948	ἔλαβον	λαμβάνω	pharr21	1saia	1.6.6
aor iia	9001950	ἔδωκα	δίδωμι	to give	1saia	1.6.6
aor iia	9001963	ἠδίκησα	ἀδικέω	pharr23	1saia	1.6.6
aor iia	9002010	ἔγνως	γιγνώσκω	to learn to know	2saia	1.6.7
aor iia	9002030	ἔδωκάς	δίδωμι	to give	2saia	1.6.7
aor iia	9002033	ἔλαβες	λαμβάνω	pharr21	2saia	1.6.7
aor iia	9002068	ἠρώτησεν	ἐρωτάω	to ask	3saia	1.6.8
aor iia	9002090	ἠρώτησεν	ἐρωτάω	to ask	3saia	1.6.8
aor iia	9002130	εἶπε	λέγω	to pick; to say	3saia	1.6.9
aor iia	9002162	εἶπε	λέγω	to pick; to say	3saia	1.6.9
aor iia	9002214	ἔλαβον	λαμβάνω	pharr21	3paia	1.6.10
aor iia	9002236	εἶδον	ὁράω	to see	3paia	1.6.10
aor iia	9002244	προσεκύνησαν	προσκυνέω	to make obeisance	3paia	1.6.10
aor iia	9002275	εἶδε	ὁράω	to see	3saia	1.6.11
aor iia	9002280	ἀπέθανεν	ἀποθνῄσκω	pharr34	3saia	1.6.11
aor iia	9002360	διέταξε	διατάσσω	to appoint	3saia	1.7.1
aor iia	9002428	προσέλαβον	προσλαμβάνω	to take or receive in addition	3paia	1.7.3
aor iia	9002551	εἶπεν	λέγω	to pick; to say	3saia	1.7.5
aor iia	9002601	ἔλεξεν	λέγω	to pick; to say	3saia	1.7.6
aor iia	9002711	ἐξήγγελλον	ἐξαγγέλλω	to send out	3paia	1.7.8
aor iia	9002913	ὑστέρησε	ὑστερέω	to be behind	3saia	1.7.12
aor iia	9002951	ἤγγελλον	ἀγγέλλω	to bear a message	3paia	1.7.13
aor iia	9003108	παρῆλθε	παρέρχομαι	to go by	3saia	1.7.16
aor iia	9003142	ἔδωκεν	δίδωμι	to give	3saia	1.7.18
aor iia	9003155	εἶπεν	λέγω	to pick; to say	3saia	1.7.18
aor iia	9003166	εἶπεν	λέγω	to pick; to say	3saia	1.7.18
aor iia	9003194	ἀπέδωκεν	ἀποδίδωμι	to give back	3saia	1.7.18
