6167947	ἀγαπᾶν	ἀγαπάω	to treat with affection	330
6167948	τὰ	ὁ	pharr1	330
6167949	χρήματα	χρῆμα	pharr19	330
6167951	τοῦτο	οὗτος	pharr14	330
6167952	δὲ	δέ	pharr4	330
6167953	ποιοῦσιν	ποιέω	pharr23	330
6167954	ὡς	ὡς	pharr21	330
6167955	τὸ	ὁ	pharr1	330
6167956	πολὺ	πολύς	much	330
6167957	οἳ	ὅς	pharr13	330
6167958	ἂν	ἄν	pharr17	330
6167959	μὴ	μή	pharr15	330
6167960	αὐτοὶ	αὐτός	pharr13	330
6167961	κτήσωνται	κτάομαι	to procure for oneself	330
6167963	οἱ	ὁ	pharr1	330
6167964	δὲ	δέ	pharr4	330
6167965	κτησάμενοι	κτάομαι	to procure for oneself	330
6167966	διπλῇ	διπλῇ	twice	330
6167967	ἢ	ἤ	pharr33	330
6167968	οἱ	ὁ	pharr1	330
6167969	ἄλλοι	ἄλλος	pharr13	330
6167970	ἀσπάζονται	ἀσπάζομαι	to welcome kindly	330
6167971	αὐτά	αὐτός	pharr13	330
6167973	ὥσπερ	ὥσπερ	pharr31	330
6167974	γὰρ	γάρ	pharr6	330
6167975	οἱ	ὁ	pharr1	330
6167976	ποιηταὶ	ποιητής	one who makes	330
6167977	τὰ	ὁ	pharr1	330
6167978	αὑτῶν	ἑαυτοῦ	pharr16	330
6167979	ποιήματα	ποίημα	anything made	330
6167980	καὶ	καί	pharr3	330
6167981	οἱ	ὁ	pharr1	330
6167982	πατέρες	πατήρ	a father	330
6167983	τοὺς	ὁ	pharr1	330
6167984	παῖδας	παῖς	pharr19	330
6167985	ἀγαπῶσιν	ἀγαπάω	to treat with affection	330
6167987	ταύτῃ	ταύτῃ	in this way.	330
6167988	τε	τε	pharr30	330
6167989	δὴ	δή	pharr23	330
6167990	καὶ	καί	pharr3	330
6167991	οἱ	ὁ	pharr1	330
6167992	χρηματισάμενοι	χρηματίζω	to negotiate	330
6167993	περὶ	περί	pharr25	330
6167994	τὰ	ὁ	pharr1	330
6167995	χρήματα	χρῆμα	pharr19	330
6167996	σπουδάζουσιν	σπουδάζω	to make haste	330
6167997	ὡς	ὡς	pharr21	330
6167998	ἔργον	ἔργον	pharr8	330
6167999	ἑαυτῶν	ἑαυτοῦ	pharr16	330
6168001	καὶ	καί	pharr3	330
6168002	κατὰ	κατά	pharr18	330
6168003	τὴν	ὁ	pharr1	330
6168004	χρείαν	χρεία	use	330
6168005	ᾗπερ	ὅσπερ	the very man who	330
6168006	οἱ	ὁ	pharr1	330
6168007	ἄλλοι	ἄλλος	pharr13	330
6168009	χαλεποὶ	χαλεπός	pharr26	330
6168010	οὖν	οὖν	pharr15	330
6168011	καὶ	καί	pharr3	330
6168012	συγγενέσθαι	συγγίγνομαι	to be with	330
6168013	εἰσίν	εἰμί	pharr17	330
6168015	οὐδὲν	οὐδείς	not one	330
6168016	ἐθέλοντες	ἐθέλω	pharr3	330
6168017	ἐπαινεῖν	ἐπαινέω	to approve	330
6168018	ἀλλ’	ἀλλά	pharr8	330
6168019	ἢ	ἤ	pharr33	330
6168020	τὸν	ὁ	pharr1	330
6168021	πλοῦτον	πλοῦτος	wealth	330
6168023	ἀληθῆ	ἀληθής	unconcealed	330
6168025	ἔφη	φημί	to say	330
6168027	λέγεις	λέγω	to pick; to say	330
6168029	πάνυ	πάνυ	altogether	330
6168030	μὲν	μέν	pharr8	330
6168031	οὖν	οὖν	pharr15	330
6168033	ἦν	εἰμί	pharr17	330
6168034	δ’	δέ	pharr4	330
6168035	ἐγώ	ἐγώ	pharr15	330
6168037	ἀλλά	ἀλλά	pharr8	330
6168038	μοι	ἐγώ	pharr15	330
6168039	ἔτι	ἔτι	pharr28	330
6168040	τοσόνδε	τοσόσδε	so strong	330
6168041	εἰπέ	λέγω	to pick; to say	330
6168043	τί	τίς	pharr29	330
6168044	μέγιστον	μέγας	big	330
6168045	οἴει	οἴομαι	to suppose	330
6168046	ἀγαθὸν	ἀγαθός	pharr3	330
6168047	ἀπολελαυκέναι	ἀπολαύω	to have enjoyment of	330
6168048	τοῦ	ὁ	pharr1	330
6168049	πολλὴν	πολύς	much	330
6168050	οὐσίαν	οὐσία	that which is one's own	330
6168051	κεκτῆσθαι	κτάομαι	to procure for oneself	330
6168053	ὅ	ὅς	pharr13	330
6168055	ἦ	εἰμί	pharr17	330
6168056	δ’	δέ	pharr4	330
6168057	ὅς	ὅς	pharr13	330
6168059	ἴσως	ἴσως	equally	330
6168060	οὐκ	οὐ	pharr6	330
6168061	ἂν	ἄν	pharr17	330
