1.1.6	15	8996235	πλείστους	πολύς	much	8996234
1.1.6	15	8996236	καὶ	καί	pharr3	8996237
1.1.6	15	8996237	βελτίστους	ἀγαθός	pharr3	8996235
1.1.6	15	8996238	,	,	nodef	8996221
1.1.6	15	8996239	ὡς	ὡς	pharr21	8996240
1.1.6	15	8996240	ἐπιβουλεύοντος	ἐπιβουλεύω	pharr13	8996227
1.1.6	15	8996241	Τισσαφέρνους	Τισσαφέρνης	Tissaphernes	8996240
1.1.6	15	8996242	ταῖς	ὁ	pharr1	8996243
1.1.6	15	8996243	πόλεσι	πόλις	a city	8996240
1.1.6	15	8996244	.	.	nodef	8996221
1.1.6	16	8996245	καὶ	καί	pharr3	8996247
1.1.6	16	8996246	γὰρ	γάρ	pharr6	8996247
1.1.6	16	8996247	ἦσαν	εἰμί	pharr17	0
1.1.6	16	8996248	αἱ	ὁ	pharr1	8996250
1.1.6	16	8996249	Ἰωνικαὶ	Ἰωνικός	Ionic	8996250
1.1.6	16	8996250	πόλεις	πόλις	a city	8996247
1.1.6	16	8996251	Τισσαφέρνους	Τισσαφέρνης	Tissaphernes	8996250
1.1.6	16	8996252	τὸ	ὁ	pharr1	8996253
1.1.6	16	8996253	ἀρχαῖον	ἀρχαῖος	pharr8	8996256
1.1.6	16	8996254	ἐκ	ἐκ	pharr2	8996256
1.1.6	16	8996255	βασιλέως	βασιλεύς	a king	8996254
1.1.6	16	8996256	δεδομέναι	δίδωμι	to give	8996247
1.1.6	16	8996257	,	,	nodef	8996245
1.1.6	16	8996258	τότε	τότε	pharr17	8996260
1.1.6	16	8996259	δὲ	δέ	pharr4	8996260
1.1.6	16	8996260	ἀφειστήκεσαν	ἀφίστημι	to put away	8996247
1.1.6	16	8996261	πρὸς	πρός	pharr18	8996260
1.1.6	16	8996262	Κῦρον	Κῦρος	Cyrus	8996261
1.1.6	16	8996263	πᾶσαι	πᾶς	pharr22	8996260
1.1.6	16	8996264	πλὴν	πλήν	except	8996263
1.1.6	16	8996265	Μιλήτου	Μίλητος	Miletus	8996264
1.1.6	16	8996266	·	·	nodef	8996245
1.1.7	17	8996267	ἐν	ἐν	pharr4	8996283
1.1.7	17	8996268	Μιλήτῳ	Μίλητος	Miletus	8996267
1.1.7	17	8996269	δὲ	δέ	pharr4	8996283
1.1.7	17	8996270	Τισσαφέρνης	Τισσαφέρνης	Tissaphernes	8996283
1.1.7	17	8996271	προαισθόμενος	προαισθάνομαι	to perceive	8996283
1.1.7	17	8996272	τὰ	ὁ	pharr1	8996274
1.1.7	17	8996273	αὐτὰ	αὐτός	pharr13	8996274
1.1.7	17	8996274	ταῦτα	οὗτος	pharr14	8996275
1.1.7	17	8996275	βουλευομένους	βουλεύω	pharr13	8996271
1.1.7	17	8996276	ἀποστῆναι	ἀφίστημι	to put away	8996275
1.1.7	17	8996277	πρὸς	πρός	pharr18	8996276
1.1.7	17	8996278	Κῦρον	Κῦρος	Cyrus	8996277
1.1.7	17	8996279	,	,	nodef	8996267
1.1.7	17	8996280	τοὺς	ὁ	pharr1	8996283
1.1.7	17	8996281	μὲν	μέν	pharr8	8996283
1.1.7	17	8996282	αὐτῶν	αὐτός	pharr13	8996280
1.1.7	17	8996283	ἀπέκτεινε	ἀποκτείνω	to kill	0
1.1.7	17	8996284	τοὺς	ὁ	pharr1	8996286
1.1.7	17	8996285	δ’	δέ	pharr4	8996286
1.1.7	17	8996286	ἐξέβαλεν	ἐκβάλλω	to throw	8996283
1.1.7	17	8996287	.	.	nodef	8996267
1.1.7	18	8996288	ὁ	ὁ	pharr1	8996290
1.1.7	18	8996289	δὲ	δέ	pharr4	8996296
1.1.7	18	8996290	Κῦρος	Κῦρος	Cyrus	8996296
1.1.7	18	8996291	ὑπολαβὼν	ὑπολαμβάνω	take up; understand	8996296
1.1.7	18	8996292	τοὺς	ὁ	pharr1	8996293
1.1.7	18	8996293	φεύγοντας	φεύγω	pharr6	8996291
1.1.7	18	8996294	συλλέξας	συλλέγω	to collect	8996296
1.1.7	18	8996295	στράτευμα	στράτευμα	an expedition	8996294
1.1.7	18	8996296	ἐπολιόρκει	πολιορκέω	to hem in a city	0
1.1.7	18	8996297	Μίλητον	Μίλητος	Miletus	8996296
1.1.7	18	8996298	καὶ	καί	pharr3	8996299
1.1.7	18	8996299	κατὰ	κατά	pharr18	8996296
1.1.7	18	8996300	γῆν	γῆ	earth	8996299
1.1.7	18	8996301	καὶ	καί	pharr3	8996302
1.1.7	18	8996302	κατὰ	κατά	pharr18	8996300
1.1.7	18	8996303	θάλατταν	θάλασσα	pharr15	8996302
1.1.7	18	8996304	καὶ	καί	pharr3	8996305
1.1.7	18	8996305	ἐπειρᾶτο	πειράω	to attempt	8996296
1.1.7	18	8996306	κατάγειν	κατάγω	to lead down	8996305
1.1.7	18	8996307	τοὺς	ὁ	pharr1	8996308
1.1.7	18	8996308	ἐκπεπτωκότας	ἐκπίπτω	to fall out of	8996306
1.1.7	18	8996309	.	.	nodef	8996288
1.1.7	19	8996310	καὶ	καί	pharr3	8996315
1.1.7	19	8996311	αὕτη	οὗτος	pharr14	8996314
1.1.7	19	8996312	αὖ	αὖ	again	8996315
1.1.7	19	8996313	ἄλλη	ἄλλος	pharr13	8996314
1.1.7	19	8996314	πρόφασις	πρόφασις	that which is alleged as the cause	8996315
1.1.7	19	8996315	ἦν	εἰμί	pharr17	0
1.1.7	19	8996316	αὐτῷ	αὐτός	pharr13	8996315
1.1.7	19	8996317	τοῦ	ὁ	pharr1	8996318
1.1.7	19	8996318	ἁθροίζειν	ἀθροίζω	pharr8	8996314
1.1.7	19	8996319	στράτευμα	στράτευμα	an expedition	8996318
1.1.7	19	8996320	.	.	nodef	8996310
1.1.8	20	8996321	πρὸς	πρός	pharr18	8996324
1.1.8	20	8996322	δὲ	δέ	pharr4	8996325
